first_date,days_since_first,users,cohort_size,retention_rate
2019-10-01,0,190067,190067,1.0
2019-10-01,1,32831,190067,0.17273382544050256
2019-10-01,2,25718,190067,0.13531018009438778
2019-10-01,3,27941,190067,0.14700605575928488
2019-10-01,4,23292,190067,0.12254626000305155
2019-10-01,5,21892,190067,0.11518043637243709
2019-10-01,6,21382,190067,0.1124971720498561
2019-10-01,7,22380,190067,0.11774795203796556
2019-10-01,8,21284,190067,0.11198156439571309
2019-10-01,9,20684,190067,0.10882478283973546
2019-10-01,10,22429,190067,0.11800575586503706
2019-10-01,11,19576,190067,0.10299525956636343
2019-10-01,12,20915,190067,0.11004014373878684
2019-10-01,13,21109,190067,0.11106083644188629
2019-10-01,14,21781,190067,0.11459643178458123
2019-10-01,15,19789,190067,0.1041159170187355
2019-10-01,16,18789,190067,0.09885461442543945
2019-10-01,17,19720,190067,0.10375288713979808
2019-10-01,18,17851,190067,0.09391951259292776
2019-10-01,19,17880,190067,0.09407209036813334
2019-10-01,20,17524,190067,0.09219906664491995
2019-10-01,21,16778,190067,0.0882741349103211
2019-10-01,22,16603,190067,0.0873534069564943
2019-10-01,23,15730,190067,0.08276028979254683
2019-10-01,24,17369,190067,0.09138356474295906
2019-10-01,25,15351,190067,0.08076625610968764
2019-10-01,26,15113,190067,0.07951406609248318
2019-10-01,27,15225,190067,0.08010333198293233
2019-10-01,28,14698,190067,0.07733062551626532
2019-10-01,29,14280,190067,0.07513140103226756
2019-10-01,30,14656,190067,0.07710965080734689
2019-10-02,0,152020,152020,1.0
2019-10-02,1,20662,152020,0.13591632679910537
2019-10-02,2,19943,152020,0.13118668596237337
2019-10-02,3,16026,152020,0.1054203394290225
2019-10-02,4,14929,152020,0.09820418366004473
2019-10-02,5,14359,152020,0.09445467701618208
2019-10-02,6,15163,152020,0.09974345480857782
2019-10-02,7,14685,152020,0.09659913169319827
2019-10-02,8,13923,152020,0.09158663333771871
2019-10-02,9,15382,152020,0.10118405472964084
2019-10-02,10,13481,152020,0.08867912116826733
2019-10-02,11,14274,152020,0.09389554006051835
2019-10-02,12,14380,152020,0.09459281673464018
2019-10-02,13,14786,152020,0.0972635179581634
2019-10-02,14,13748,152020,0.09043546901723458
2019-10-02,15,12646,152020,0.08318642283910012
2019-10-02,16,13556,152020,0.08917247730561768
2019-10-02,17,12141,152020,0.07986449151427444
2019-10-02,18,12302,152020,0.08092356268911985
2019-10-02,19,11822,152020,0.07776608341007762
2019-10-02,20,11577,152020,0.07615445336139981
2019-10-02,21,11303,152020,0.0743520589396132
2019-10-02,22,10482,152020,0.06895145375608473
2019-10-02,23,11566,152020,0.07608209446125509
2019-10-02,24,10257,152020,0.06747138534403369
2019-10-02,25,10208,152020,0.06714905933429811
2019-10-02,26,10295,152020,0.06772135245362453
2019-10-02,27,9836,152020,0.0647020128930404
2019-10-02,28,9911,152020,0.06519536903039073
2019-10-02,29,10199,152020,0.06708985659781608
2019-10-03,0,124231,124231,1.0
2019-10-03,1,18285,124231,0.14718548510436202
2019-10-03,2,13022,124231,0.10482085791791099
2019-10-03,3,11690,124231,0.09409889641071874
2019-10-03,4,11259,124231,0.09062955301011824
2019-10-03,5,11856,124231,0.09543511683879224
2019-10-03,6,11364,124231,0.091474752678478
2019-10-03,7,10681,124231,0.0859769300738141
2019-10-03,8,11629,124231,0.09360787565100498
2019-10-03,9,10542,124231,0.08485804670331881
2019-10-03,10,11178,124231,0.08997754183738359
2019-10-03,11,11028,124231,0.0887701137397268
2019-10-03,12,11615,124231,0.09349518236189035
2019-10-03,13,10231,124231,0.08235464578084375
2019-10-03,14,9878,124231,0.07951316499102479
2019-10-03,15,10499,124231,0.08451191731532387
2019-10-03,16,9503,124231,0.07649459474688282
2019-10-03,17,9668,124231,0.07782276565430529
2019-10-03,18,9144,124231,0.07360481683315759
2019-10-03,19,8762,124231,0.07052989994445831
2019-10-03,20,8641,124231,0.06955590794568184
2019-10-03,21,8156,124231,0.06565189042992489
2019-10-03,22,9042,124231,0.07278376572675097
2019-10-03,23,7922,124231,0.06376830259758032
2019-10-03,24,7918,124231,0.06373610451497613
2019-10-03,25,7936,124231,0.06388099588669495
2019-10-03,26,7478,124231,0.060194315428516235
2019-10-03,27,7387,124231,0.05946180904927112
2019-10-03,28,7685,124231,0.0618605662032826
2019-10-04,0,143185,143185,1.0
2019-10-04,1,17668,143185,0.12339281349303349
2019-10-04,2,13221,143185,0.09233509096623249
2019-10-04,3,12063,143185,0.08424765163948737
2019-10-04,4,12646,143185,0.08831930718999895
2019-10-04,5,11789,143185,0.08233404337046478
2019-10-04,6,11375,143185,0.07944267905157663
2019-10-04,7,13083,143185,0.09137130285993644
2019-10-04,8,11341,143185,0.079205224010895
2019-10-04,9,12162,143185,0.08493906484617803
2019-10-04,10,11492,143185,0.08025980375039285
2019-10-04,11,12761,143185,0.08912246394524566
2019-10-04,12,11305,143185,0.07895380102664386
2019-10-04,13,10170,143185,0.07102699305094808
2019-10-04,14,11523,143185,0.08047630687572022
2019-10-04,15,10202,143185,0.07125048014806021
2019-10-04,16,10069,143185,0.07032161190068792
2019-10-04,17,9478,143185,0.06619408457589832
2019-10-04,18,9328,143185,0.06514648880818522
2019-10-04,19,9164,143185,0.06400111743548556
2019-10-04,20,8542,143185,0.059657086985368576
2019-10-04,21,9843,143185,0.06874323427733352
2019-10-04,22,8508,143185,0.05941963194468694
2019-10-04,23,8278,143185,0.057813318434193524
2019-10-04,24,8152,143185,0.05693333798931452
2019-10-04,25,7803,143185,0.054495931836435384
2019-10-04,26,7641,143185,0.05336452840730523
2019-10-04,27,8090,143185,0.05650033173865977
2019-10-05,0,124914,124914,1.0
2019-10-05,1,14434,124914,0.11555149943160894
2019-10-05,2,10075,124914,0.08065549097779272
2019-10-05,3,9874,124914,0.07904638391213155
2019-10-05,4,9256,124914,0.07409898009830763
2019-10-05,5,8630,124914,0.06908753222216885
2019-10-05,6,9868,124914,0.07899835086539539
2019-10-05,7,9105,124914,0.07289014842211441
2019-10-05,8,9537,124914,0.07634852778711754
2019-10-05,9,8484,124914,0.06791872808492243
2019-10-05,10,9156,124914,0.07329842931937172
2019-10-05,11,8324,124914,0.06663784683862498
2019-10-05,12,7645,124914,0.06120210704965016
2019-10-05,13,8303,124914,0.06646973117504844
2019-10-05,14,8116,124914,0.06497270121843829
2019-10-05,15,8143,124914,0.06518884992875099
2019-10-05,16,7187,124914,0.0575355844821237
2019-10-05,17,7019,124914,0.056190659173511376
2019-10-05,18,6901,124914,0.055246009254367005
2019-10-05,19,6428,124914,0.05145940407000016
2019-10-05,20,7347,124914,0.058816465728421155
2019-10-05,21,6841,124914,0.05476567878700546
2019-10-05,22,6736,124914,0.05392510046912276
2019-10-05,23,6088,124914,0.048737531421618074
2019-10-05,24,6014,124914,0.0481451238452055
2019-10-05,25,5807,124914,0.04648798373280817
2019-10-05,26,6040,124914,0.04835326704772884
2019-10-06,0,116994,116994,1.0
2019-10-06,1,11933,116994,0.10199668359061148
2019-10-06,2,9773,116994,0.08353419833495734
2019-10-06,3,8601,116994,0.07351659059438946
2019-10-06,4,7991,116994,0.06830264799904269
2019-10-06,5,8604,116994,0.07354223293502231
2019-10-06,6,8055,116994,0.06884968459921022
2019-10-06,7,8610,116994,0.07359351761628802
2019-10-06,8,7461,116994,0.06377250115390533
2019-10-06,9,7938,116994,0.06784963331452895
2019-10-06,10,7363,116994,0.06293485135989879
2019-10-06,11,6552,116994,0.05600287194215088
2019-10-06,12,7350,116994,0.06282373455048977
2019-10-06,13,6878,116994,0.058789339624254235
2019-10-06,14,7357,116994,0.0628835666786331
2019-10-06,15,6459,116994,0.05520795938253244
2019-10-06,16,6268,116994,0.053575397028907464
2019-10-06,17,5873,116994,0.05019915551224849
2019-10-06,18,5654,116994,0.04832726464605022
2019-10-06,19,6216,116994,0.05313092979127135
2019-10-06,20,5885,116994,0.0503017248747799
2019-10-06,21,5914,116994,0.050549600834230816
2019-10-06,22,5281,116994,0.04513906696069884
2019-10-06,23,5242,116994,0.04480571653247175
2019-10-06,24,5160,116994,0.0441048258885071
2019-10-06,25,5361,116994,0.045822862710908255
2019-10-07,0,105796,105796,1.0
2019-10-07,1,12225,105796,0.11555257287610117
2019-10-07,2,8834,105796,0.08350032137320881
2019-10-07,3,7768,105796,0.07342432606147681
2019-10-07,4,7932,105796,0.07497447918635865
2019-10-07,5,7004,105796,0.06620288101629551
2019-10-07,6,7113,105796,0.06723316571514991
2019-10-07,7,6942,105796,0.06561684751786456
2019-10-07,8,7301,105796,0.06901017051684373
2019-10-07,9,6694,105796,0.0632727135241408
2019-10-07,10,6032,105796,0.05701538810541041
2019-10-07,11,6432,105796,0.06079624938561004
2019-10-07,12,5812,105796,0.05493591440130061
2019-10-07,13,6044,105796,0.0571288139438164
2019-10-07,14,5823,105796,0.0550398880865061
2019-10-07,15,5701,105796,0.05388672539604522
2019-10-07,16,5503,105796,0.052015199062346404
2019-10-07,17,4917,105796,0.04647623728685395
2019-10-07,18,5561,105796,0.05256342394797535
2019-10-07,19,4885,105796,0.04617376838443798
2019-10-07,20,4809,105796,0.045455404741200044
2019-10-07,21,4763,105796,0.04502060569397709
2019-10-07,22,4599,105796,0.04347045256909524
2019-10-07,23,4482,105796,0.04236455064463685
2019-10-07,24,4780,105796,0.04518129229838557
2019-10-08,0,127100,127100,1.0
2019-10-08,1,13238,127100,0.10415420928402833
2019-10-08,2,9549,127100,0.07512981904012589
2019-10-08,3,9255,127100,0.07281667977970102
2019-10-08,4,8522,127100,0.06704956726986624
2019-10-08,5,8510,127100,0.06695515342250197
2019-10-08,6,7938,127100,0.06245476003147128
2019-10-08,7,8406,127100,0.0661369000786782
2019-10-08,8,7920,127100,0.062313139260424866
2019-10-08,9,7122,127100,0.05603461841070024
2019-10-08,10,7607,127100,0.05985051140833989
2019-10-08,11,6621,127100,0.05209284028324154
2019-10-08,12,7023,127100,0.05525570416994492
2019-10-08,13,6723,127100,0.05289535798583792
2019-10-08,14,6557,127100,0.05158929976396538
2019-10-08,15,6390,127100,0.05027537372147915
2019-10-08,16,5881,127100,0.04627065302911094
2019-10-08,17,6593,127100,0.05187254130605822
2019-10-08,18,5590,127100,0.043981117230527146
2019-10-08,19,5451,127100,0.04288749016522423
2019-10-08,20,5395,127100,0.042446892210857595
2019-10-08,21,5326,127100,0.04190401258851298
2019-10-08,22,5277,127100,0.04151848937844217
2019-10-08,23,5468,127100,0.043021243115656964
2019-10-09,0,114905,114905,1.0
2019-10-09,1,11456,114905,0.09969975196901788
2019-10-09,2,9312,114905,0.081040859840738
2019-10-09,3,7558,114905,0.06577607588877768
2019-10-09,4,7763,114905,0.06756015839171489
2019-10-09,5,7225,114905,0.06287802967668944
2019-10-09,6,7346,114905,0.06393107349549627
2019-10-09,7,6867,114905,0.05976241242765763
2019-10-09,8,6395,114905,0.05565467125016318
2019-10-09,9,6790,114905,0.05909229363387146
2019-10-09,10,5901,114905,0.051355467560158394
2019-10-09,11,6099,114905,0.053078630172751405
2019-10-09,12,5921,114905,0.05152952438971324
2019-10-09,13,5855,114905,0.05095513685218224
2019-10-09,14,5648,114905,0.049153648666289546
2019-10-09,15,5102,114905,0.04440189721944215
2019-10-09,16,5560,114905,0.04838779861624821
2019-10-09,17,4921,114905,0.04282668291197076
2019-10-09,18,4721,114905,0.04108611461642226
2019-10-09,19,4724,114905,0.04111222314085549
2019-10-09,20,4674,114905,0.040677081066968365
2019-10-09,21,4587,114905,0.03991993385840477
2019-10-09,22,4838,114905,0.042104347069318135
2019-10-10,0,103151,103151,1.0
2019-10-10,1,10985,103151,0.10649436263342091
2019-10-10,2,7423,103151,0.07196246279725839
2019-10-10,3,7372,103151,0.07146804199668447
2019-10-10,4,6544,103151,0.06344097488148442
2019-10-10,5,6650,103151,0.06446859458463805
2019-10-10,6,6192,103151,0.06002850190497426
2019-10-10,7,5482,103151,0.05314538879894524
2019-10-10,8,5836,103151,0.0565772508264583
2019-10-10,9,5304,103151,0.05141976325968725
2019-10-10,10,5542,103151,0.0537270603290322
2019-10-10,11,5095,103151,0.04939360742988434
2019-10-10,12,4977,103151,0.04824965342071332
2019-10-10,13,4862,103151,0.04713478298804665
2019-10-10,14,4437,103151,0.04301460964993068
2019-10-10,15,4834,103151,0.046863336274006066
2019-10-10,16,4236,103151,0.04106601002413937
2019-10-10,17,4194,103151,0.04065883995307849
2019-10-10,18,4044,103151,0.0392046611278611
2019-10-10,19,3944,103151,0.038235208577716166
2019-10-10,20,3872,103151,0.03753720274161181
2019-10-10,21,3974,103151,0.03852604434275964
2019-10-11,0,111932,111932,1.0
2019-10-11,1,10721,111932,0.09578136725869278
2019-10-11,2,10770,111932,0.09621913304506308
2019-10-11,3,7518,111932,0.06716577922309974
2019-10-11,4,7476,111932,0.06679055140621092
2019-10-11,5,6760,111932,0.06039381052782046
2019-10-11,6,5924,111932,0.0529249901726048
2019-10-11,7,6960,111932,0.06218060965586249
2019-10-11,8,5916,111932,0.052853518207483116
2019-10-11,9,5854,111932,0.05229961047779009
2019-10-11,10,5696,111932,0.05088803916663689
2019-10-11,11,5649,111932,0.05046814137154701
2019-10-11,12,5359,111932,0.04787728263588607
2019-10-11,13,4836,111932,0.043204802916056176
2019-10-11,14,5626,111932,0.05026265947182218
2019-10-11,15,4915,111932,0.043910588571632776
2019-10-11,16,4699,111932,0.04198084551334739
2019-10-11,17,4520,111932,0.040381660293749774
2019-10-11,18,4342,111932,0.03879140906979237
2019-10-11,19,4415,111932,0.039443590751527716
2019-10-11,20,4551,111932,0.04065861415859629
2019-10-12,0,94981,94981,1.0
2019-10-12,1,11730,94981,0.12349838388730378
2019-10-12,2,6887,94981,0.07250923868984323
2019-10-12,3,6192,94981,0.06519198576557417
2019-10-12,4,5708,94981,0.06009622977227024
2019-10-12,5,5139,94981,0.054105557953696
2019-10-12,6,5684,94981,0.0598435476568998
2019-10-12,7,5267,94981,0.05545319590233836
2019-10-12,8,5298,94981,0.055779576968025185
2019-10-12,9,4740,94981,0.0499047177856624
2019-10-12,10,4532,94981,0.04771480611911856
2019-10-12,11,4180,94981,0.04400880176035207
2019-10-12,12,3982,94981,0.04192417430854592
2019-10-12,13,4565,94981,0.04806224402775292
2019-10-12,14,4282,94981,0.04508270075067645
2019-10-12,15,4082,94981,0.042977016455922765
2019-10-12,16,3865,94981,0.04069234899611501
2019-10-12,17,3612,94981,0.038028658363251595
2019-10-12,18,3538,94981,0.03724955517419273
2019-10-12,19,3667,94981,0.03860772154430886
2019-10-13,0,95963,95963,1.0
2019-10-13,1,8979,95963,0.0935673124016548
2019-10-13,2,6968,95963,0.07261131894584372
2019-10-13,3,6200,95963,0.06460823442368413
2019-10-13,4,5403,95963,0.05630295009534925
2019-10-13,5,5607,95963,0.058428769421547885
2019-10-13,6,5260,95963,0.05481279243041589
2019-10-13,7,5375,95963,0.056011170972145516
2019-10-13,8,4723,95963,0.04921688567468712
2019-10-13,9,4476,95963,0.04664297698071131
2019-10-13,10,4254,95963,0.04432958536102456
2019-10-13,11,3822,95963,0.039827850317309794
2019-10-13,12,4449,95963,0.04636161854047914
2019-10-13,13,4141,95963,0.04315204818523806
2019-10-13,14,4031,95963,0.042005773058366246
2019-10-13,15,3716,95963,0.03872325792232423
2019-10-13,16,3507,95963,0.036545335181267784
2019-10-13,17,3454,95963,0.035993038983775
2019-10-13,18,3646,95963,0.037993810114314894
2019-10-14,0,82988,82988,1.0
2019-10-14,1,8741,82988,0.10532848122620138
2019-10-14,2,6459,82988,0.07783052971513954
2019-10-14,3,5378,82988,0.0648045500554297
2019-10-14,4,5261,82988,0.06339470766857859
2019-10-14,5,4662,82988,0.056176796645298115
2019-10-14,6,4796,82988,0.0577914879259652
2019-10-14,7,4360,82988,0.052537716296332
2019-10-14,8,4085,82988,0.04922398419048537
2019-10-14,9,3937,82988,0.04744059382079337
2019-10-14,10,3715,82988,0.04476550826625536
2019-10-14,11,4318,82988,0.052031619029257244
2019-10-14,12,3665,82988,0.044163011519737796
2019-10-14,13,3506,82988,0.042247071865811926
2019-10-14,14,3414,82988,0.0411384778522196
2019-10-14,15,3279,82988,0.03951173663662216
2019-10-14,16,3265,82988,0.03934303754759724
2019-10-14,17,3306,82988,0.03983708487974165
2019-10-15,0,92906,92906,1.0
2019-10-15,1,9388,92906,0.10104837147224076
2019-10-15,2,6345,92906,0.06829483564032462
2019-10-15,3,6172,92906,0.06643273846683745
2019-10-15,4,5263,92906,0.056648655630422144
2019-10-15,5,5119,92906,0.055098701913762295
2019-10-15,6,4734,92906,0.05095472843519256
2019-10-15,7,4468,92906,0.04809161948636256
2019-10-15,8,4219,92906,0.045411491184638234
2019-10-15,9,4101,92906,0.0441413902223753
2019-10-15,10,4864,92906,0.052353992207177145
2019-10-15,11,3993,92906,0.04297892493488042
2019-10-15,12,3623,92906,0.038996404968462746
2019-10-15,13,3516,92906,0.03784470324844466
2019-10-15,14,3468,92906,0.03732805200955805
2019-10-15,15,3407,92906,0.03667147439347297
2019-10-15,16,3605,92906,0.038802660753880266
2019-10-16,0,97145,97145,1.0
2019-10-16,1,8661,97145,0.08915538627824386
2019-10-16,2,6569,97145,0.06762056719337073
2019-10-16,3,5267,97145,0.054217921663492714
2019-10-16,4,5180,97145,0.053322353183385664
2019-10-16,5,4799,97145,0.04940038087395131
2019-10-16,6,4441,97145,0.045715168047763655
2019-10-16,7,4095,97145,0.04215348190848731
2019-10-16,8,3890,97145,0.04004323434041896
2019-10-16,9,4576,97145,0.04710484327551598
2019-10-16,10,3854,97145,0.039672654279685006
2019-10-16,11,3550,97145,0.03654331154459828
2019-10-16,12,3554,97145,0.036584487106902056
2019-10-16,13,3329,97145,0.03426836172731484
2019-10-16,14,3286,97145,0.03382572443254928
2019-10-16,15,3333,97145,0.03430953728961861
2019-10-17,0,80882,80882,1.0
2019-10-17,1,7786,80882,0.09626369278702307
2019-10-17,2,5338,80882,0.06599737889765338
2019-10-17,3,4860,80882,0.060087534927425135
2019-10-17,4,4463,80882,0.05517914987265399
2019-10-17,5,3930,80882,0.04858930293514008
2019-10-17,6,3673,80882,0.04541183452436883
2019-10-17,7,3478,80882,0.043000914913083256
2019-10-17,8,3814,80882,0.04715511485868302
2019-10-17,9,3217,80882,0.03977399174105487
2019-10-17,10,2985,80882,0.03690561558814075
2019-10-17,11,3000,80882,0.03709107094285502
2019-10-17,12,2934,80882,0.03627506738211221
2019-10-17,13,2815,80882,0.0348037882347123
2019-10-17,14,2923,80882,0.036139066788655076
2019-10-18,0,87753,87753,1.0
2019-10-18,1,7908,87753,0.09011657721103553
2019-10-18,2,5877,87753,0.06697206933096304
2019-10-18,3,5020,87753,0.05720602144656023
2019-10-18,4,4328,87753,0.049320251159504516
2019-10-18,5,4089,87753,0.04659669754880175
2019-10-18,6,3732,87753,0.04252846056545075
2019-10-18,7,4403,87753,0.05017492279466229
2019-10-18,8,3709,87753,0.04226636126400237
2019-10-18,9,3366,87753,0.03835766298588082
2019-10-18,10,3219,87753,0.036682506580971594
2019-10-18,11,3057,87753,0.0348364158490308
2019-10-18,12,3001,87753,0.034198261028113
2019-10-18,13,3046,87753,0.03471106400920766
2019-10-19,0,84632,84632,1.0
2019-10-19,1,8081,84632,0.09548397769165327
2019-10-19,2,5079,84632,0.06001276113054164
2019-10-19,3,4186,84632,0.049461196710464124
2019-10-19,4,3791,84632,0.04479393137347575
2019-10-19,5,3493,84632,0.04127280461291238
2019-10-19,6,3915,84632,0.04625909821344172
2019-10-19,7,3555,84632,0.04200538803289536
2019-10-19,8,3390,84632,0.040055770866811606
2019-10-19,9,2943,84632,0.034774080725966536
2019-10-19,10,2788,84632,0.03294262217600907
2019-10-19,11,2713,84632,0.032056432555061916
2019-10-19,12,2850,84632,0.03367520559599206
2019-10-20,0,91259,91259,1.0
2019-10-20,1,7757,91259,0.08499983563264993
2019-10-20,2,5220,91259,0.057199837824214596
2019-10-20,3,4355,91259,0.047721320636868694
2019-10-20,4,3898,91259,0.04271359537141542
2019-10-20,5,4026,91259,0.044116196758675855
2019-10-20,6,3683,91259,0.04035766335375141
